Date,Time,Open,High,Low,Close,Volume
2024-07-11,11:00:00,373.8300,374.3200,372.5720,374.2150,102887
2024-07-11,10:45:00,375.7900,375.7900,373.4850,373.6000,74858
2024-07-11,10:30:00,373.7400,376.7500,373.6500,375.7900,86086
2024-07-11,10:15:00,375.5000,375.6200,372.0100,373.5600,214445
2024-07-11,10:00:00,379.3850,379.7800,375.7000,375.8620,119646
2024-07-11,09:45:00,378.7400,379.6900,377.3600,379.0400,162076
2024-07-11,09:30:00,375.6900,379.3500,373.2600,378.8100,324320
2024-07-11,09:15:00,376.3000,377.0000,374.9700,375.7200,8291
2024-07-11,09:00:00,374.4500,377.0000,374.4500,376.4800,4000
2024-07-11,08:45:00,376.5500,377.0300,375.0000,375.8000,8047
2024-07-11,08:30:00,373.0000,377.3000,373.0000,376.7000,14207
2024-07-11,08:15:00,373.5000,373.9000,372.9000,372.9000,1120
2024-07-11,08:00:00,374.2000,374.9530,373.0800,373.2890,5133
2024-07-11,07:45:00,374.0000,374.0000,373.6500,373.9700,119
2024-07-11,07:30:00,374.0600,374.1900,373.9100,374.1900,271
2024-07-11,07:15:00,374.0000,374.2000,374.0000,374.1600,336
2024-07-11,07:00:00,373.9700,374.0000,373.2400,374.0000,479
2024-07-11,06:45:00,374.0300,374.2000,373.9000,373.9000,187
2024-07-11,06:30:00,374.5000,374.6700,374.2100,374.6700,344
2024-07-11,06:15:00,373.5300,374.2600,373.5100,374.0100,180
2024-07-11,06:00:00,373.8500,373.8500,373.5100,373.5300,153
2024-07-11,05:45:00,374.1500,374.4500,373.9100,374.4500,161
2024-07-11,05:30:00,373.5000,374.0000,373.3700,373.9200,77
2024-07-11,05:15:00,374.0000,374.2500,373.9100,373.9100,29
2024-07-11,05:00:00,374.2000,374.4500,374.0000,374.4400,85
2024-07-11,04:45:00,374.2000,374.2000,374.0000,374.2000,24
2024-07-11,04:30:00,374.4500,374.4500,374.2000,374.2000,17
2024-07-11,04:15:00,374.4500,374.4900,374.1500,374.2000,30
2024-07-11,04:00:00,374.5800,374.7600,374.2500,374.5800,58
2024-07-10,19:45:00,374.6800,374.9500,374.6000,374.8300,1098
2024-07-10,19:30:00,374.7500,374.9500,374.6800,374.6800,1090
2024-07-10,19:15:00,374.6900,374.7600,374.5600,374.7500,1226
2024-07-10,19:00:00,374.7000,374.7500,374.6000,374.6800,623
2024-07-10,18:45:00,374.7100,374.7100,374.5610,374.6000,728
2024-07-10,18:30:00,375.0000,375.2000,374.7100,374.7100,280
2024-07-10,18:15:00,375.2000,375.4100,374.5800,375.0000,361
2024-07-10,18:00:00,374.9900,375.4100,374.5800,375.2000,586
2024-07-10,17:45:00,375.0000,375.2100,374.5900,374.9900,2387
2024-07-10,17:30:00,374.3200,375.0000,374.2500,374.8200,2630
2024-07-10,17:15:00,374.3500,374.6100,374.3000,374.3000,937
2024-07-10,17:00:00,374.5500,374.7700,374.2500,374.4900,5157
2024-07-10,16:45:00,374.4000,374.7700,374.2500,374.5500,1339
2024-07-10,16:30:00,374.3900,389.2300,374.0100,374.4500,3465
2024-07-10,16:15:00,374.4500,374.7700,373.9780,374.0100,4328
2024-07-10,16:00:00,374.4400,374.7700,371.6000,374.4400,765522
2024-07-10,15:45:00,373.7050,374.6800,373.2100,374.4400,443003
2024-07-10,15:30:00,372.8500,374.6800,372.3700,373.7050,154221
2024-07-10,15:15:00,372.0030,373.0600,371.7100,372.8500,131791
2024-07-10,15:00:00,372.2100,372.2100,371.2700,371.9600,81297
2024-07-10,14:45:00,371.7800,372.7950,371.5100,372.3000,91908
2024-07-10,14:30:00,372.3100,372.6300,371.5100,371.7290,76281
2024-07-10,14:15:00,373.4100,373.5350,371.7900,372.2950,87415
